ID;Especialidad;Marca;Pais_Origen;Variedad_tipo_cafe;Nombre_producto;Description;Fuente_puntuacion;Puntuacion_oficial;Notas_cata;Formato_cafe;Cafeina;Tueste;Proceso;Ratio_recomendado;Molienda_recomendada;Aroma;Sabor;Retrogusto;Acidez;Cuerpo;Uniformidad;Dulzura;Total_puntuacion;cod_barras;url_image;url_producto
KOFIO-12453;Arábica;Puchero Coffee Roasters;Ethiopia;Heirloom;Ethiopia BESHASHA;Ethiopia BESHASHA (Puchero Coffee Roasters) trae un perfil que recuerda a equilibrio y sabor fácil. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter más cremoso y goloso, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Un café que despierta sin gritar: energía con buen gusto. Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;equilibrado, definido, caramelo, cacao, cuerpo;grano;si;medio-oscuro;lavado;1:2.2;fina;8;8;10;8;10;10;8;62;;https://st.kofio.co/img_product/lTQ3S52fOCc9v1A/12453/sq_600_AEv2HPLa7y8nXF0xQjSB_464.png;https://www.kofio.co/coffee/ethiopia-beshasha-puchero-coffee-roasters/12453
KOFIO-13187;Arábica;Hola Coffee;Colombia;Caturra, Chiroso;Colombia LA COLOMBIA;Colombia LA COLOMBIA (Hola Coffee) trae un perfil que recuerda a equilibrio dulce y limpio. Su proceso honey lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Hecho para empezar el día con una sonrisa (y una taza sólida). Con una selección cuidada que se nota en aroma y final.;;;caramelo, manzana, claridad, fruta tropical, panela;grano;si;ligero;honey;1:16;media;10;8;8;10;8;8;10;62;;https://st.kofio.co/img_product/tkRu6FlaIy1DN4P/13187/sq_600_DQ3urmaG8YIKlJPXCsHA_118877.png;https://www.kofio.co/coffee/colombia-la-colombia-hola-coffee/13187
KOFIO-18991;Arábica;Nomad Coffee;Costa Rica;SL28;Costa Rica LA TOTOBA (COMPETICIÓN);Costa Rica LA TOTOBA (COMPETICIÓN) (Nomad Coffee) trae un perfil que recuerda a dulzor brillante y fruta limpia. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Un café que despierta sin gritar: energía con buen gusto. Perfil vibrante y jugoso: muy de ‘wow’ en taza.;;;acidez brillante, fruta madura, fruta de hueso, miel, floral;grano;si;ligero;natural;1:16;media;10;8;8;10;8;6;10;60;;https://st.kofio.co/img_product/3z6j0CM1LEpWat7/18991/sq_600_PoHWX578S1pOvzgrteMN_100406.png;https://www.kofio.co/coffee/costa-rica-la-totoba-nomad-coffee/18991
KOFIO-14881;Arábica;Nomad Coffee;Colombia;Caturra;Colombia MANGO (FR.CO.MANGO);Colombia MANGO (FR.CO.MANGO) (Nomad Coffee) trae un perfil que recuerda a caramelo y fruta madura. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Un café que despierta sin gritar: energía con buen gusto. Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;manzana, panela, cítrico, taza limpia, floral;grano;si;ligero;"Experimental (fermentación con mango; lavado final)";1:16;media;10;10;10;10;6;10;8;64;;https://st.kofio.co/img_product/3z6j0CM1LEpWat7/14881/sq_600_AufDk9LGF32cnKNQVOdz_100406.png;https://www.kofio.co/coffee/colombia-mango-fr-co-mango-nomad-coffee/14881
KOFIO-17735;Arábica;Nomad Coffee;Colombia;Maragesha;Colombia MARAGESHA - competition coffee;Colombia MARAGESHA - competition coffee (Nomad Coffee) trae un perfil que recuerda a caramelo y fruta madura. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;panela, manzana, claridad, caramelo, definido;grano;si;ligero;lavado;1:16;media;10;8;10;10;6;10;8;62;;https://st.kofio.co/img_product/3z6j0CM1LEpWat7/17735/sq_600_6yqIDoOaF7AuzBbrcLsx_100406.png;https://www.kofio.co/coffee/colombia-maragesha-competition-coffee-nomad-coffee/17735
KOFIO-2446;Arábica;Nomad Coffee;Rwanda;;Rwanda SIMBI;Rwanda SIMBI (Nomad Coffee) trae un perfil que recuerda a perfil redondo y amable. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Hecho para empezar el día con una sonrisa (y una taza sólida).;;;equilibrado, brillante, floral, cacao, caramelo;grano;si;ligero;lavado;1:16;media;10;8;10;10;6;10;8;62;;https://st.kofio.co/img_product/3z6j0CM1LEpWat7/2446/sq_600_EAQKFIBiYrUbSy7WVzZ2_100406.png;https://www.kofio.co/coffee/rwanda-simbi-nomad-coffee/2446
KOFIO-2448;Arábica;Nomad Coffee;El Salvador;;El Salvador LA DIVINA;El Salvador LA DIVINA (Nomad Coffee) trae un perfil que recuerda a textura sedosa y dulzor. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Hecho para empezar el día con una sonrisa (y una taza sólida).;;;cítrico, final largo, cacao, definido, claridad;grano;si;ligero;Lavado;1:16;media;10;8;10;10;6;10;8;62;;https://st.kofio.co/img_product/3z6j0CM1LEpWat7/2448/sq_600_x3FoazQ2Akc4SDMNGCI9_100406.png;https://www.kofio.co/coffee/el-salvador-la-divina-nomad-coffee/2448
KOFIO-9628;Arábica;DAK Coffee Roasters;Colombia;Castillo;Colombia MILKY CAKE - filter;Colombia MILKY CAKE - filter (DAK Coffee Roasters) trae un perfil que recuerda a caramelo y fruta madura. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Un café que despierta sin gritar: energía con buen gusto. Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;floral, cítrico, fruta tropical, claridad, manzana;grano;si;ligero;experimental;1:16;media;10;8;8;10;6;8;8;58;;https://st.kofio.co/img_product/boeV9yxzHn2OwWv/9628/QKTn1qZovlkf5Y9DawGm_102573.png;https://www.kofio.co/coffee/colombia-milky-cake-filter-dak-coffee-roasters/9628
KOFIO-8502;Mezcla;Friedhats Coffee;Brazi, Ethiopia;;Friedhats ESPRESSO BLEND;Friedhats ESPRESSO BLEND (Friedhats Coffee) trae un perfil que recuerda a equilibrio y sabor fácil. y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Hecho para empezar el día con una sonrisa (y una taza sólida).;;;dulzor, equilibrio, frutos secos, caramelo, cacao;grano;si;medio;mezcla;1:2.2;fina;8;8;8;8;8;8;8;56;;https://st.kofio.co/img_product/Wt8D5EAwTr0BCpQ/8502/gmOpbaztu41oJQ6IfEsT_514.png;https://www.kofio.co/coffee/friedhats-espresso-blend-friedhats-coffee/8502
KOFIO-18943;Arábica;Father's Coffee Roastery;Ethiopia;Heirloom;Ethiopia LALESA SLOW DRY - limited edition - Kofio collab;Ethiopia LALESA SLOW DRY - limited edition - Kofio collab (Father's Coffee Roastery) trae un perfil que recuerda a una taza versátil y disfrutona. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;cuerpo, caramelo, cítrico, dulzor, equilibrado;grano;si;ligero;natural;1:16;media;10;8;8;10;8;6;10;60;;https://st.kofio.co/img_product/73XcFvutxIVr2GC/18943/YnVPjQlU9v2H0swAGpk5_441.png;https://www.kofio.co/coffee/ethiopia-lalesa-slow-dry-limited-edition-kofio-collab-fathers-coffee-roastery/18943
